t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
1.399999999999999979e-05,5.400000000000000000e+03,7.204391479492185946e-01,1.061004440327148357e+00,5.735782267138671386e+01,5.760154795246998560e+01,7.169727833923339233e+00
1.700689655172413656e-05,5.667727220690027934e+03,7.562408447265625000e-01,1.659972933598621747e+00,5.616085878724816638e+01,3.681716545509977578e+01,7.020107348406020797e+00
2.001379310344827503e-05,5.990331520173322133e+03,7.991256713867188610e-01,2.565354062405397428e+00,4.193277033294167211e+01,2.382341644099724576e+01,5.241596291617709014e+00
2.302068965517241350e-05,6.369514290739589342e+03,8.501342773437499112e-01,3.937422291429709453e+00,4.532788567436183769e+01,1.552170268358395688e+01,5.665985709295229711e+00
2.602758620689654857e-05,6.795728375306195630e+03,9.073699951171874112e-01,5.809469773006705751e+00,1.462435892904593118e+02,1.051997867882137783e+01,1.828044866130741397e+01
2.903448275862069043e-05,7.241353496611714945e+03,9.678283691406250888e-01,8.098491549898298558e+00,3.423341979631857157e+02,7.546528606065570521e+00,4.279177474539821446e+01
3.204137931034482551e-05,7.689189548468810244e+03,1.029747009277343750e+00,1.073284493562409558e+01,9.538103515911554950e+02,5.694249615443088608e+00,1.192262939488944369e+02
3.504827586206896059e-05,8.141244144352467629e+03,1.093495178222656072e+00,1.375469014117832955e+01,2.519557971663150056e+03,4.443247904532744208e+00,3.149447464578937570e+02
3.805517241379310244e-05,8.562323058277381278e+03,1.154624938964844194e+00,1.690104631962183035e+01,5.396834751525756474e+03,3.616077785452474824e+00,6.746043439407195592e+02
4.106206896551723752e-05,8.907686568847628223e+03,1.206422424316405895e+00,1.970427139572476349e+01,9.740152168714479558e+03,3.101637047109899292e+00,1.217519021089309945e+03
4.406896551724137938e-05,9.177296792190345514e+03,1.248635864257812589e+00,2.202258630836900011e+01,1.479267516601205716e+04,2.775128102191283919e+00,1.849084395751507145e+03
4.707586206896551445e-05,9.408268741359601336e+03,1.286199951171874911e+00,2.410072000727134878e+01,2.064935873454019020e+04,2.535837025982993875e+00,2.581169841817523775e+03
5.008275862068964953e-05,9.612199635521696109e+03,1.320457458496093750e+00,2.600924484148412574e+01,2.728213397371166502e+04,2.349760576278248969e+00,3.410266746713958128e+03
5.308965517241379139e-05,9.792983150781812583e+03,1.351760864257812500e+00,2.775987142757326609e+01,3.450494202941039111e+04,2.201577132903545841e+00,4.313117753676298889e+03
5.609655172413792647e-05,9.953561685258269790e+03,1.380361938476562633e+00,2.936190181917868358e+01,4.212752232165174064e+04,2.081455708273237004e+00,5.265940290206467580e+03
5.910344827586206832e-05,1.009601686334058104e+04,1.406546020507812411e+00,3.082556358075873959e+01,5.010245103724466026e+04,1.982623869541707107e+00,6.262806379655582532e+03
6.211034482758620340e-05,1.022373736468151765e+04,1.430682373046875178e+00,3.216980337601776796e+01,5.824221441256456455e+04,1.899778417447485435e+00,7.280276801570570569e+03
6.511724137931033170e-05,1.033913887259553667e+04,1.452972412109375000e+00,3.340858445139095068e+01,6.639641291280560836e+04,1.829335158938267814e+00,8.299551614100701045e+03
6.812413793103447356e-05,1.044403306577076364e+04,1.473684692382812633e+00,3.455438011056607905e+01,7.450688184812309919e+04,1.768675865454169660e+00,9.313360231015387399e+03
7.113103448275861541e-05,1.053991188723496634e+04,1.492987060546874911e+00,3.561824178288293297e+01,8.253249065135236015e+04,1.715848258873297505e+00,1.031656133141904502e+04
7.413793103448275727e-05,1.062838424965745435e+04,1.510980224609374645e+00,3.662175270657539272e+01,9.035178417430724949e+04,1.668830507293404208e+00,1.129397302178840619e+04
7.714482758620688557e-05,1.071032936744811923e+04,1.527832031250000000e+00,3.756702381780738165e+01,9.795465114454190189e+04,1.626838965037152418e+00,1.224433139306773774e+04
8.015172413793102742e-05,1.078647636321664140e+04,1.543777465820312278e+00,3.845478306444781680e+01,1.053993415663794440e+05,1.589282093851941635e+00,1.317491769579743050e+04
8.315862068965516928e-05,1.085748320168065220e+04,1.558866882324218661e+00,3.929075331500185086e+01,1.126780249143409310e+05,1.555467711634658912e+00,1.408475311429261637e+04
8.616551724137929758e-05,1.092389919239668416e+04,1.573184204101562456e+00,4.007975230505819297e+01,1.197874757661798649e+05,1.524847201702262955e+00,1.497343447077248311e+04
8.917241379310343944e-05,1.098620708509978613e+04,1.586813354492187189e+00,4.082613761629517768e+01,1.267288255636417744e+05,1.496969875565559605e+00,1.584110319545522179e+04
9.217931034482758129e-05,1.104500630546791763e+04,1.599871826171874734e+00,4.153596112727794321e+01,1.335267552594100707e+05,1.471387599771981414e+00,1.669084440742625884e+04
9.518620689655172315e-05,1.110037568584459950e+04,1.612326049804687189e+00,4.220925881293129578e+01,1.401510906271726708e+05,1.447916875729747810e+00,1.751888632839658385e+04
