t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
9.217931034482758129e-05,1.102719097488585248e+04,1.596414184570312145e+00,4.131788376073606628e+01,1.330646961377485131e+05,1.479153639649017915e+00,1.663308701721856414e+04
9.518620689655172315e-05,1.108139405952600282e+04,1.608432006835937234e+00,4.201012008313450252e+01,1.409631780583112850e+05,1.454780372594635773e+00,1.762039725728891062e+04
9.819310344827585145e-05,1.113136232308153194e+04,1.619610595703124378e+00,4.264897797800544765e+01,1.483167281794896699e+05,1.432988574282032079e+00,1.853959102243620873e+04
1.011999999999999933e-04,1.117766712308522619e+04,1.630117797851562189e+00,4.324151988824024784e+01,1.551978102858676575e+05,1.413352220394743508e+00,1.939972628573345719e+04
1.042068965517241352e-04,1.122076940105401809e+04,1.640020751953124911e+00,4.379354287217111619e+01,1.616605864918309380e+05,1.395536742155749188e+00,2.020757331147886725e+04
1.072137931034482635e-04,1.126107808427447162e+04,1.649353027343749778e+00,4.431023609673678010e+01,1.677521512447656714e+05,1.379263653975173920e+00,2.096901890559570893e+04
1.102206896551724053e-04,1.129889511113710250e+04,1.658181762695312367e+00,4.479537049476705590e+01,1.735099697752346401e+05,1.364326212112192627e+00,2.168874622190433001e+04
1.132275862068965472e-04,1.133444483468918224e+04,1.666540527343749911e+00,4.525176036038415361e+01,1.789599766270009859e+05,1.350566202520413484e+00,2.236999707837512324e+04
1.162344827586206755e-04,1.136790652952907294e+04,1.674496459960937322e+00,4.568160522387550770e+01,1.841260653682807751e+05,1.337857937517173079e+00,2.301575817103509689e+04
1.192413793103448173e-04,1.139942523973593416e+04,1.682049560546874822e+00,4.608674493752778289e+01,1.890227789601376280e+05,1.326097085618262783e+00,2.362784737001720350e+04
1.222482758620689592e-04,1.142911631191854576e+04,1.689199829101562189e+00,4.646863668320157359e+01,1.936612175910727237e+05,1.315198863352517566e+00,2.420765219888409047e+04
1.252551724137930739e-04,1.145706246555813595e+04,1.695980834960937322e+00,4.682827929887664453e+01,1.980515686039133579e+05,1.305098095901078725e+00,2.475644607548916974e+04
1.282620689655172158e-04,1.148333554004576581e+04,1.702426147460937456e+00,4.716653614317373666e+01,2.022031038759363582e+05,1.295738528726639638e+00,2.527538798449204478e+04
1.312689655172413576e-04,1.150798963619873575e+04,1.708468627929687234e+00,4.748414859656151066e+01,2.061138521215887740e+05,1.287071579750582062e+00,2.576423151519859675e+04
1.342758620689654995e-04,1.153106996414781679e+04,1.714175415039062234e+00,4.778160328794234601e+01,2.097931929383121314e+05,1.279059176373645412e+00,2.622414911728901643e+04
1.372827586206896414e-04,1.155261078373097553e+04,1.719546508789062456e+00,4.805931807093818975e+01,2.132432046132566757e+05,1.271668026106362648e+00,2.665540057665708446e+04
1.402896551724137561e-04,1.157264413354471617e+04,1.724548339843750000e+00,4.831771800642851389e+01,2.164626844867057516e+05,1.264867230260265929e+00,2.705783556083821895e+04
1.432965517241378980e-04,1.159118986180035245e+04,1.729214477539062544e+00,4.855700274591676191e+01,2.194553207571972162e+05,1.258634073175513679e+00,2.743191509464965202e+04
1.463034482758620398e-04,1.160823970439808909e+04,1.733511352539062411e+00,4.877707170327774122e+01,2.222147278170263744e+05,1.252955456593777939e+00,2.777684097712829680e+04
1.493103448275861817e-04,1.162378645681071066e+04,1.737438964843750044e+00,4.897780658258045605e+01,2.247380139334506821e+05,1.247820235564086611e+00,2.809225174168133526e+04
1.523172413793103235e-04,1.163791072219941088e+04,1.741030883789062456e+00,4.916021472147774318e+01,2.270378773668959620e+05,1.243190219846352473e+00,2.837973467086199526e+04
1.553241379310344654e-04,1.165070484665437289e+04,1.744287109374999867e+00,4.932549379486542307e+01,2.291256264354303130e+05,1.239024557999451437e+00,2.864070330442878912e+04
1.583310344827585801e-04,1.166242293201354187e+04,1.747308349609375089e+00,4.947687825127645311e+01,2.310451552940091642e+05,1.235233513256489557e+00,2.888064441175114553e+04
1.613379310344827220e-04,1.167305521095306904e+04,1.750027465820312322e+00,4.961429174896072425e+01,2.327875328619751963e+05,1.231812366818034965e+00,2.909844160774689954e+04
1.643448275862068638e-04,1.168257564535939127e+04,1.752478027343749911e+00,4.973734924149627545e+01,2.343516242423377698e+05,1.228764682463187041e+00,2.929395303029222123e+04
1.673517241379310057e-04,1.169085150753189919e+04,1.754592895507812500e+00,4.984435594537153236e+01,2.357115055433794623e+05,1.226126749722059595e+00,2.946393819292243279e+04
1.703586206896551475e-04,1.169784432390589973e+04,1.756405639648437100e+00,4.993476477058883489e+01,2.368644463270443375e+05,1.223906799762964681e+00,2.960805579088054219e+04
1.733655172413792894e-04,1.170356531277490285e+04,1.757882690429687145e+00,5.000874668217443997e+01,2.378079786934265867e+05,1.222096177208783496e+00,2.972599733667832334e+04
1.763724137931034313e-04,1.170805426733727109e+04,1.759024047851562189e+00,5.006681924908001946e+01,2.385470944805776235e+05,1.220678666308741223e+00,2.981838681007220293e+04
