t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
2.635724137931034637e-04,1.145210433172929515e+04,1.692926025390624645e+00,4.678073415872505336e+01,1.942813710709058214e+05,1.306424519545279272e+00,2.428517138386322767e+04
2.665793103448275514e-04,1.143264978463215448e+04,1.688293457031249556e+00,4.653108110123339713e+01,1.913423526990482933e+05,1.313433874754047492e+00,2.391779408738103666e+04
2.695862068965516932e-04,1.141266189972822758e+04,1.683526611328124645e+00,4.627466653890574833e+01,1.883304609982388793e+05,1.320711800179144024e+00,2.354130762477985991e+04
2.725931034482758351e-04,1.139219267626987494e+04,1.678659057617187367e+00,4.601214143194644635e+01,1.852558023105350439e+05,1.328247202701481777e+00,2.315697528881688049e+04
2.755999999999999769e-04,1.137132247501835081e+04,1.673724365234374734e+00,4.574452604146523527e+01,1.821320659469756938e+05,1.336017736677160617e+00,2.276650824337196173e+04
2.786068965517241188e-04,1.135027123944024970e+04,1.668789672851562544e+00,4.547462737246713971e+01,1.789935997770681279e+05,1.343947200418194488e+00,2.237419997213351598e+04
2.816137931034482607e-04,1.132901722690597671e+04,1.663821411132812456e+00,4.520219828297781817e+01,1.758352023147217114e+05,1.352047034630672107e+00,2.197940028934021393e+04
2.846206896551724025e-04,1.130752461671430683e+04,1.658819580078124911e+00,4.492677289338833901e+01,1.726524086387545394e+05,1.360335813398293014e+00,2.158155107984431743e+04
2.876275862068965444e-04,1.128559359239334117e+04,1.653733825683593839e+00,4.464579826851286271e+01,1.694157385762777121e+05,1.368896973903823255e+00,2.117696732203471402e+04
2.906344827586206862e-04,1.126323167050121992e+04,1.648580932617187189e+00,4.435935908021421881e+01,1.661278952788531606e+05,1.377736275151626444e+00,2.076598690985664507e+04
2.936413793103448281e-04,1.124051658658797714e+04,1.643377685546874911e+00,4.406845628759570133e+01,1.628006674910820147e+05,1.386830928418304243e+00,2.035008343638525184e+04
2.966482758620689699e-04,1.121764618329516088e+04,1.638174438476562189e+00,4.377562031233056672e+01,1.594636367219056410e+05,1.396108101067228047e+00,1.993295459023820513e+04
2.996551724137931118e-04,1.119478358068761372e+04,1.632971191406249689e+00,4.348298136116764567e+01,1.561380909090107598e+05,1.405503859996748872e+00,1.951726136362634497e+04
3.026620689655171994e-04,1.117192847643953974e+04,1.627801513671874645e+00,4.319049746512067145e+01,1.528262200445635244e+05,1.415021862080723114e+00,1.910327750557044055e+04
3.056689655172413413e-04,1.114904948102594790e+04,1.622665405273437278e+00,4.289775805300753575e+01,1.495238560181674547e+05,1.424678139863839288e+00,1.869048200227093184e+04
3.086758620689654831e-04,1.112597292832235507e+04,1.617529296874999689e+00,4.260253511581702668e+01,1.462063140540015011e+05,1.434550736972398655e+00,1.827578925675018763e+04
3.116827586206896250e-04,1.110275726357432904e+04,1.612359619140624645e+00,4.230563119029719132e+01,1.428791319604760210e+05,1.444618515969681827e+00,1.785989149505950263e+04
3.146896551724137668e-04,1.107945975071373687e+04,1.607223510742187056e+00,4.200771652776164444e+01,1.395540741733983450e+05,1.454863610758237780e+00,1.744425927167479313e+04
3.176965517241379087e-04,1.105627690074074235e+04,1.602120971679687145e+00,4.171135336432872975e+01,1.362563432995713083e+05,1.465200556152497668e+00,1.703204291244641354e+04
3.207034482758620506e-04,1.103323451488860883e+04,1.597085571289062367e+00,4.141683664475083049e+01,1.329910985942790867e+05,1.475619653705097400e+00,1.662388732428488584e+04
3.237103448275861924e-04,1.101030832601386828e+04,1.592083740234374822e+00,4.112388744158500486e+01,1.297529391850039246e+05,1.486131344807811727e+00,1.621911739812549058e+04
3.267172413793103343e-04,1.098581778674382076e+04,1.586645507812499911e+00,4.083292993817893546e+01,1.270105711545838567e+05,1.496720863279139779e+00,1.587632139432298209e+04
3.297241379310344761e-04,1.095954422846076523e+04,1.580737304687499734e+00,4.053787386167380191e+01,1.246287163805634482e+05,1.507614788970690345e+00,1.557858954757043102e+04
3.327310344827586180e-04,1.093191613719618726e+04,1.574594116210937367e+00,4.022752263830302866e+01,1.221383405544777634e+05,1.519245882894515898e+00,1.526729256930972042e+04
3.357379310344827598e-04,1.090316677085484662e+04,1.568215942382812367e+00,3.990455873397135633e+01,1.195587968593121332e+05,1.531541760797852314e+00,1.494484960741401665e+04
3.387448275862069017e-04,1.087358935302572900e+04,1.561737060546875000e+00,3.957219308713963102e+01,1.169213180188018741e+05,1.544405133491310922e+00,1.461516475235023427e+04
3.417517241379309893e-04,1.084336284116976094e+04,1.555157470703124822e+00,3.923248370860850542e+01,1.142404008066410897e+05,1.557777952607106275e+00,1.428005010083013622e+04
3.447586206896551312e-04,1.081264236483925561e+04,1.548510742187499734e+00,3.888717430502644135e+01,1.115303743275734741e+05,1.571610672143596954e+00,1.394129679094668427e+04
3.477655172413792730e-04,1.078159649557912417e+04,1.541864013671874645e+00,3.853812288275368303e+01,1.088081019583870511e+05,1.585845224823801747e+00,1.360101274479838139e+04
3.507724137931034149e-04,1.075032992532094795e+04,1.535217285156249778e+00,3.818653339900340171e+01,1.060817489950692398e+05,1.600446353920222942e+00,1.326021862438365497e+04
3.537793103448275567e-04,1.071890634554931967e+04,1.528587341308593750e+00,3.783311816424686214e+01,1.033571288700305886e+05,1.615396803455743546e+00,1.291964110875382357e+04
3.567862068965516986e-04,1.068732197164335957e+04,1.521990966796874734e+00,3.747781351374239023e+01,1.006348312763647264e+05,1.630711410762475166e+00,1.257935390954559080e+04
3.597931034482758405e-04,1.065558363396548884e+04,1.515411376953124556e+00,3.712071813825937028e+01,9.791455952991588856e+04,1.646398593897288709e+00,1.223931994123948607e+04
3.627999999999999823e-04,1.062375055459447321e+04,1.508865356445312278e+00,3.676249295010206453e+01,9.520161159312608652e+04,1.662441614888310770e+00,1.190020144914076081e+04
3.658068965517241242e-04,1.059190184204544676e+04,1.502352905273437456e+00,3.640404769719451394e+01,9.250188490225703572e+04,1.678810517326008389e+00,1.156273561278212946e+04
3.688137931034482660e-04,1.056025363682251918e+04,1.495874023437500089e+00,3.605065673689038874e+01,8.978172940061488771e+04,1.695267262211862747e+00,1.122271617507686096e+04
3.718206896551724079e-04,1.052885458213853417e+04,1.489495849609375089e+00,3.570166434318723248e+01,8.707564493020591908e+04,1.711838909239820072e+00,1.088445561627573989e+04
3.748275862068965497e-04,1.049772719887452331e+04,1.483184814453125000e+00,3.535582692662513438e+01,8.441240536015274120e+04,1.728583474348440285e+00,1.055155067001909265e+04
3.778344827586206916e-04,1.046692931156675877e+04,1.477008056640625178e+00,3.501367591915866484e+01,8.179930573419442226e+04,1.745475062041310643e+00,1.022491321677430278e+04
3.808413793103447792e-04,1.043646688313752020e+04,1.470932006835937500e+00,3.467533705517585929e+01,7.923417246871387761e+04,1.762506246155300937e+00,9.904271558589234701e+03
3.838482758620689211e-04,1.040632289749829397e+04,1.464990234374999867e+00,3.434054372127909005e+01,7.671671525760894292e+04,1.779689297971646322e+00,9.589589407201117865e+03
3.868551724137930629e-04,1.037640212947955297e+04,1.459115600585937367e+00,3.400832613778361235e+01,7.423585545647951949e+04,1.797074572258581249e+00,9.279481932059939936e+03
3.898620689655172048e-04,1.034664863844694264e+04,1.453308105468750222e+00,3.367803804798916190e+01,7.178704846338118659e+04,1.814698886562273294e+00,8.973381057922648324e+03
3.928689655172413467e-04,1.031711260363429938e+04,1.447601318359375000e+00,3.335018566029492604e+01,6.937505259767913958e+04,1.832538468295511924e+00,8.671881574709892448e+03
3.958758620689654885e-04,1.028789710734096479e+04,1.441995239257812589e+00,3.302594697084781927e+01,6.700671430922893342e+04,1.850529772885385782e+00,8.375839288653616677e+03
3.988827586206896304e-04,1.025920272291421861e+04,1.436523437500000000e+00,3.270755077562701985e+01,6.469724678985775245e+04,1.868544011948146233e+00,8.087155848732219056e+03
4.018896551724137722e-04,1.023105794783646343e+04,1.431185913085937456e+00,3.239531596595702467e+01,6.244773882112157298e+04,1.886553544083709788e+00,7.805967352640196623e+03
4.048965517241379141e-04,1.020348071365745091e+04,1.426016235351562633e+00,3.208937240513051847e+01,6.025987740825997753e+04,1.904540150418040811e+00,7.532484676032497191e+03
